Filename,Brand Name,Label,Tagline
output\Cowbell\000001.jpg,Cowbell,Genuine,sooo creamy sooo gooood
genLogoOutput\Rolex\000003.jpg,Rolex,Fake,antiophthalmic_factor crown for every accomplishment .
output\PlayStation\000005.jpg,PlayStation,Genuine,eNoS Lives.
output\YouTube\000004.jpg,YouTube,Genuine,Broadcast Yourself
genLogoOutput\Lays\000004.jpg,Lays,Fake,eNoS sprightliness .
output\Tiktok\000004.jpg,Tiktok,Genuine,Make Your Day.
output\Amazon\000005.jpg,Amazon,Genuine,Taste of Nature
genLogoOutput\Google\000003.jpg,Google,Fake,father ’ thyroxin constitute evil
output\Tesla\000001.jpg,Tesla,Genuine,Burn rubber not gasoline
output\Gillette\000005.jpg,Gillette,Genuine,The Best a Man Can Get.
output\Samsung\000005.jpg,Samsung,Genuine,Do What You Can't.
genLogoOutput\Rolex\000001.jpg,Rolex,Fake,adenine tip for every accomplishment .
genLogoOutput\Pepsi\000002.jpg,Pepsi,Fake,
genLogoOutput\Guinness\000002.jpg,Guinness,Fake,Guinness be just for You .
genLogoOutput\Peak milk\scal_000001.jpg,Peak milk,Fake,Everyone have a bill
output\Adidas\000001.jpg,Adidas,Genuine,impossible is nothing.
output\Kfc\000001.jpg,Kfc,Genuine,Finger Lickin' Good.
genLogoOutput\Google\scal_000005.jpg,Google,Fake,put_on ’ triiodothyronine be immorality
genLogoOutput\Pay pal\scal_000004.jpg,Pay pal,Fake,"foster trustfulness , make unity , adept apiece other , and take for_each_one others ' rachis ."
genLogoOutput\McDonald\scal_000004.jpg,McDonald,Fake,one ’ thousand Lovin ’ information_technology .
genLogoOutput\Cowbell\scal_000001.jpg,Cowbell,Fake,sooo creamy sooo gooood
genLogoOutput\Android\scal_000002.jpg,Android,Fake,atomic_number_4 unitedly . non the Sami
genLogoOutput\Fila\scal_000004.jpg,Fila,Fake,powerfulness panache
output\MnM\000004.jpg,MnM,Genuine,"the milk chocolate that melts in your mouth, not in your hand"
output\Amazon\000004.jpg,Amazon,Genuine,Taste of Nature
output\Kfc\000004.jpg,Kfc,Genuine,Finger Lickin' Good.
genLogoOutput\Mercedes Benz\scal_000005.jpg,Mercedes Benz,Fake,The right operating_theatre nothing
genLogoOutput\Pay pal\000002.jpg,Pay pal,Fake,"Foster trustfulness , sustain wholeness , defend each former , and stimulate to_each_one others ' game ."
genLogoOutput\Samsung\000002.jpg,Samsung,Fake,ut What You atomic_number_20 n't .
genLogoOutput\Cadbury\000001.jpg,Cadbury,Fake,How nerveless exist that ?
output\Mercedes Benz\000005.jpg,Mercedes Benz,Genuine,The Best or Nothing
genLogoOutput\Cadbury\scal_000002.jpg,Cadbury,Fake,How coolheaded exist that ?
genLogoOutput\Bic\000001.jpg,Bic,Fake,consider Indiana beach .
genLogoOutput\Tesla\000002.jpg,Tesla,Fake,burn_down safety not gasolene
genLogoOutput\Tesla\000005.jpg,Tesla,Fake,burn_off golosh not gasolene
genLogoOutput\Krisspy Kreme\scal_000002.jpg,Krisspy Kreme,Fake,master_copy sugarcoat anchor_ring
genLogoOutput\Puma\scal_000002.jpg,Puma,Fake,forever riotous
genLogoOutput\BMW\000001.jpg,BMW,Fake,The ultimate push motorcar .
output\Nestle\000002.jpg,Nestle,Genuine,"Nestle. Good Food, Good Life."
genLogoOutput\PlayStation\scal_000003.jpg,PlayStation,Fake,eNoS live .
genLogoOutput\YouTube\scal_000001.jpg,YouTube,Fake,program Yourself
genLogoOutput\Kfc\scal_000002.jpg,Kfc,Fake,digit Lickin ' honorable .
genLogoOutput\Lipton\000003.jpg,Lipton,Fake,personify more tea_leaf .
genLogoOutput\Microsoft\000001.jpg,Microsoft,Fake,pretend information_technology totally bring_in gumption .
genLogoOutput\Cowbell\000003.jpg,Cowbell,Fake,sooo creamy sooo gooood
genLogoOutput\Adidas\scal_000005.jpg,Adidas,Fake,impossible embody nix .
output\Pringles\000004.jpg,Pringles,Genuine,"Once you pop, you can't stop."
output\Samsung\000001.jpg,Samsung,Genuine,Do What You Can't.
genLogoOutput\Oral b\scal_000004.jpg,Oral b,Fake,The world_power toothbrush Thomas_More dentist utilisation
genLogoOutput\Amazon\000002.jpg,Amazon,Fake,savour of nature
output\YouTube\000001.jpg,YouTube,Genuine,Broadcast Yourself
genLogoOutput\Nestle\000002.jpg,Nestle,Fake,"nuzzle . good food , serious life_sentence ."
genLogoOutput\Puma\000005.jpg,Puma,Fake,always libertine
output\YouTube\000002.jpg,YouTube,Genuine,Broadcast Yourself
output\McDonald\000001.jpg,McDonald,Genuine,I’m Lovin’ It.
genLogoOutput\Fila\000005.jpg,Fila,Fake,world_power flair
genLogoOutput\Gillette\000001.jpg,Gillette,Fake,The comfortably A Isle_of_Man tooshie stick .
genLogoOutput\YouTube\scal_000004.jpg,YouTube,Fake,programme Yourself
genLogoOutput\Reebok\scal_000005.jpg,Reebok,Fake,unity constitute what I represent
genLogoOutput\Reebok\000004.jpg,Reebok,Fake,unity Master_of_Arts what I represent
genLogoOutput\McDonald\000004.jpg,McDonald,Fake,one ’ yard Lovin ’ information_technology .
genLogoOutput\Nike\000005.jpg,Nike,Fake,hardly serve IT .
genLogoOutput\Bic\000002.jpg,Bic,Fake,conceive inwards beach .
genLogoOutput\Lg\000001.jpg,Lg,Fake,the magnificent Italian jeweler since 1884
genLogoOutput\McDonald\000005.jpg,McDonald,Fake,atomic_number_53 ’ mebibyte Lovin ’ IT .
output\Google\000003.jpg,Google,Genuine,Don’t be Evil
genLogoOutput\Kfc\000003.jpg,Kfc,Fake,finger's_breadth Lickin ' estimable .
genLogoOutput\Nestle\scal_000001.jpg,Nestle,Fake,"nuzzle . dependable food_for_thought , safe life_history ."
genLogoOutput\Mercedes Benz\000001.jpg,Mercedes Benz,Fake,The proficient Beaver_State zilch
output\Hp\000005.jpg,Hp,Genuine,The Great Tasting Gel!
genLogoOutput\Kfc\scal_000004.jpg,Kfc,Fake,finger Lickin ' honorable .
genLogoOutput\Dominos\000002.jpg,Dominos,Fake,invalidate the Noid
genLogoOutput\Nutella\scal_000004.jpg,Nutella,Fake,hazelnut spreading with skip Milk and cocoa .
output\Nike\000001.jpg,Nike,Genuine,Just Do It.
genLogoOutput\MnM\scal_000004.jpg,MnM,Fake,"the Milk umber that unthaw In your mouthpiece , not IN your give"
